wid,stimulus,button_pressed,view_history,questions,responses,correct,block,delays,score,trial_time,path,state_rewards,trial_index,key_press,clicks,n_clicks,stim_i
w01669a7,,,,,,,training,[],16.0,43952.0,"['0', '5', '6', '8']","['', -4, 4, 48, -48, -4, 4, -24, 24, -4, -8, 24, 24]",3,,"[9, 10, 12, 11, 5, 6, 7, 8]",8,23
w01669a7,,,,,,,training,[],49.0,15923.0,"['0', '1', '2', '3']","['', -4, 8, 48, -24, -2, -4, 24, -48, 4, 4, 48, -48]",4,,"[1, 2, 3]",3,41
w01669a7,,,,,,,training,[],21.0,102558.0,"['0', '9', '10', '11']","['', -4, -8, 24, -24, -2, 8, 24, 48, 4, -4, 24, -48]",5,,"[9, 10, 11]",3,38
w01669a7,,,,,,,training,[],39.0,17353.0,"['0', '5', '6', '8']","['', 4, -4, -48, 24, -2, -4, 24, 48, 4, -4, 48, -48]",6,,"[5, 6, 8]",3,29
w01669a7,,,,,,,training,[],30.0,20362.0,"['0', '1', '2', '3']","['', 2, 8, 24, -24, 2, -8, -24, -24, 4, -8, 48, 48]",7,,"[1, 2, 4, 3]",4,42
w01669a7,,,,,,,training,[],17.0,16518.0,"['0', '9', '10', '12']","['', -2, 4, -24, 24, -2, -4, -48, -48, 4, -8, 24, 24]",8,,"[9, 10, 12]",3,43
w01669a7,,,,,,,training,[],33.0,34126.0,"['0', '5', '6', '7']","['', 4, -4, -48, -48, 4, 8, 24, -24, -2, 8, 48, -48]",9,,"[5, 6, 7]",3,44
w4f54495,,,,,,,training,[],-23.0,38412.0,"['0', '1', '2', '3']","['', 2, 4, -24, 48, -4, 8, -48, 48, 2, -4, 24, -24]",0,,"[1, 5, 9, 2, 10]",5,28
w4f54495,,,,,,,training,[],27.0,22950.0,"['0', '1', '2', '4']","['', 2, 4, -24, 24, 4, 8, -48, -48, -4, -4, -48, -24]",1,,"[1, 2, 4]",3,45
w4f54495,,,,,,,training,[],26.0,30746.0,"['0', '5', '6', '8']","['', -4, -4, -48, -48, -2, -8, 24, 48, 2, 4, -24, -48]",2,,"[9, 10, 11, 12, 5, 3, 4, 2, 1, 6, 7, 8]",12,20
w4f54495,,,,,,,training,[],47.0,21357.0,"['0', '9', '10', '12']","['', -4, 4, 24, 24, -2, -4, 48, -24, -4, 8, -48, 48]",3,,"[12, 8, 9, 11, 10]",5,4
w4f54495,,,,,,,training,[],14.0,20180.0,"['0', '9', '10', '12']","['', -2, -4, 24, -48, -4, 8, -24, -24, 4, -4, -48, 24]",4,,"[8, 7, 3, 4, 11, 12, 2, 1, 9, 10]",10,46
w4f54495,,,,,,,training,[],34.0,27883.0,"['0', '1', '2', '4']","['', 4, -8, 24, 48, 4, -8, -24, 48, -2, -8, 24, -24]",5,,"[4, 11, 12, 3, 1, 2, 8, 7, 6, 5]",10,47
w4f54495,,,,,,,training,[],44.0,21136.0,"['0', '5', '6', '8']","['', 4, 8, -24, 24, -2, 4, -24, 48, 2, -8, 24, 48]",6,,"[12, 8, 6, 5, 9, 10]",6,21
w4f54495,,,,,,,training,[],27.0,19313.0,"['0', '5', '6', '8']","['', 4, 8, -24, -24, -4, -8, -48, 48, 2, -8, -24, -48]",7,,"[8, 7, 3, 4, 6, 5, 9, 12, 11]",9,48
w4f54495,,,,,,,training,[],50.0,17890.0,"['0', '1', '2', '3']","['', 2, 8, 48, 24, -2, 4, 24, 24, -2, -4, -48, -24]",8,,"[12, 11, 7, 8, 3, 4, 1, 2]",8,26
w4f54495,,,,,,,training,[],40.0,16303.0,"['0', '1', '2', '3']","['', -4, 4, 48, -48, -4, 4, -24, 24, -4, -8, 24, 24]",9,,"[12, 11, 4, 3, 7, 8, 1, 2]",8,23
