wid,feedback,train_height,startTime,bonus,completed,previously_participated,n_quiz,instruct_time,total_time,sex,age
wbe66ad5,action,3,Thu Aug 26 2021 09:55:30 GMT-0400 (Eastern Daylight Time),0.0,True,No,3.0,"[169755, 13854, 6493]",52.03516666666667,,
w31a473a,meta,3,Thu Aug 26 2021 15:55:02 GMT+0100 (West Africa Standard Time),0.0,True,No,1.0,[9511],34.99851666666667,,
wc7dbc9e,action,3,Thu Aug 26 2021 10:09:00 GMT-0400 (Eastern Daylight Time),0.0,True,Yes,3.0,"[88668, 22765, 8093]",33.658033333333336,,
w19d2cc6,meta,3,Thu Aug 26 2021 22:05:35 GMT+0800 (China Standard Time),0.0,True,No,1.0,[3306165],195.67858333333334,,
w23435bd,video,3,Thu Aug 26 2021 09:10:10 GMT-0500 (Central Daylight Time),0.0,True,Yes,,,,,
w763728c,video,3,Thu Aug 26 2021 08:05:40 GMT-0600 (Central Standard Time),0.0,True,No,,,,,
wcb3d9b5,none,3,Wed Aug 25 2021 14:19:09 GMT-0400 (Eastern Daylight Time),0.0,True,Yes,1.0,[62869],19.319366666666667,Female,34.0
wf4e00f9,meta,3,Thu Aug 26 2021 07:42:09 GMT-0600 (Central Standard Time),0.0,True,No,1.0,[49491],29.1871,,
wb9998a5,video,3,Thu Aug 26 2021 06:57:28 GMT-0700 (Pacific Daylight Time),0.0,True,No,,,,,
wf930856,video,3,Thu Aug 26 2021 08:47:17 GMT-0500 (Central Daylight Time),0.0,True,No,,,,,
wbb851c6,meta,3,Wed Aug 25 2021 11:59:53 GMT-0700 (Pacific Daylight Time),0.0,False,,2.0,"[95963, 5813]",,CONSENT REVOKED,20.0
w710aeef,meta,3,Wed Aug 25 2021 10:40:00 GMT-0700 (Pacific Daylight Time),0.0,False,,2.0,"[75208, 15123]",,CONSENT REVOKED,18.0
w5f33406,action,3,Thu Aug 26 2021 06:57:44 GMT-0700 (GMT-07:00),0.0,False,,1.0,[463893],,,
we5095d7,video,3,Thu Aug 26 2021 09:26:31 GMT-0400 (Eastern Daylight Time),0.0,True,No,,,,,
w495ede0,none,3,Thu Aug 26 2021 08:57:23 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[105895],33.3328,,
w507081d,none,3,Thu Aug 26 2021 09:34:46 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[160202],35.09115,,
wd3f5a59,action,3,Wed Aug 25 2021 09:59:46 GMT-0700 (PDT),0.0,True,No,4.0,"[49345, 24407, 19371, 7297]",38.921283333333335,Female,19.0
wed53d7b,action,3,Wed Aug 25 2021 14:39:48 GMT-0400 (Eastern Daylight Time),0.0,True,No,2.0,"[136333, 10383]",47.87635,Female,28.0
w919f101,video,3,Wed Aug 25 2021 12:37:15 GMT-0600 (GMT-06:00),0.0,True,No,,,,Male,42.0
w9f23adf,video,3,Wed Aug 25 2021 13:14:16 GMT-0500 (Central Daylight Time),0.0,True,No,,,,Female,19.0
w4a89574,none,3,Thu Aug 26 2021 08:01:15 GMT-0500 (Central Daylight Time),0.0,True,No,2.0,"[98979, 20895]",26.792783333333333,,
w7ac50ad,action,3,Wed Aug 25 2021 13:36:37 GMT-0400 (EDT),0.0,True,No,1.0,[120651],26.729316666666666,Female,24.0
w0254720,action,3,Wed Aug 25 2021 13:51:31 GMT-0500 (CDT),0.0,False,,2.0,"[99679, 33555]",,CONSENT REVOKED,18.0
w6cbde93,action,3,Wed Aug 25 2021 13:22:12 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[65022],20.020716666666665,Female,21.0
w918f146,meta,3,Wed Aug 25 2021 13:55:34 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[59358],22.2018,Male,20.0
w16f70f6,action,3,Thu Aug 26 2021 09:27:34 GMT-0400 (Eastern Daylight Time),0.0,True,No,2.0,"[104311, 9315]",25.1084,,
w248a92a,action,3,Thu Aug 26 2021 08:28:30 GMT-0500 (Central Daylight Time),0.0,True,No,2.0,"[110789, 10207]",36.36366666666667,,
w42e4795,meta,3,Wed Aug 25 2021 13:49:38 GMT-0400 (EDT),0.0,True,No,4.0,"[34174, 53167, 25281, 6478]",43.3911,CONSENT REVOKED,21.0
w65d4ecf,none,3,Wed Aug 25 2021 11:44:06 GMT-0500 (Central Daylight Time),0.0,True,Yes,1.0,[81840],19.618116666666666,Female,22.0
w0f995a9,action,3,Thu Aug 26 2021 09:37:08 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[82682],25.437133333333332,,
w20070e3,meta,3,Wed Aug 25 2021 19:39:55 GMT+0100 (West Africa Standard Time),0.0,True,No,1.0,[7916],38.547666666666665,Male,37.0
w8b97a1a,action,3,Wed Aug 25 2021 13:15:58 GMT-0500 (Central Daylight Time),0.0,False,,1.0,[372468],,CONSENT REVOKED,42.0
w54cdb37,meta,3,Wed Aug 25 2021 13:51:39 GMT-0500 (Central Daylight Time),0.0,True,No,2.0,"[78865, 26714]",25.74755,Female,41.0
w9c993f9,meta,3,Thu Aug 26 2021 09:09:08 GMT-0500 (Central Daylight Time),0.0,True,Yes,3.0,"[57896, 11541, 21722]",25.312316666666668,,
w943f5bb,meta,3,Thu Aug 26 2021 08:42:34 GMT-0500 (CDT),0.0,True,No,1.0,[131380],34.998016666666665,,
wcbbc54b,video,3,Thu Aug 26 2021 09:18:26 GMT-0400 (Eastern Daylight Time),0.0,True,No,,,,,
wbe66984,action,3,Thu Aug 26 2021 07:39:11 GMT-0600 (GMT-06:00),0.0,False,,,,,,
wf70b14c,action,3,Thu Aug 26 2021 06:58:34 GMT-0700 (MST),0.0,True,No,1.0,[108043],36.66145,,
w95f8186,video,3,Wed Aug 25 2021 11:01:48 GMT-0700 (Pacific Daylight Time),0.0,True,No,,,,Female,20.0
wca788a7,none,3,Thu Aug 26 2021 08:53:59 GMT-0400 (Eastern Daylight Time),0.0,True,Yes,1.0,[68707],17.3104,,
wd031652,none,3,Wed Aug 25 2021 12:45:06 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[65267],16.320266666666665,Female,19.0
w165648f,none,3,Wed Aug 25 2021 13:55:15 GMT-0500 (Central Daylight Time),0.0,True,No,1.0,[128690],22.149166666666666,Female,22.0
w1d4dcf8,video,3,Thu Aug 26 2021 10:21:29 GMT-0400 (Eastern Daylight Time),0.0,True,No,,,,,
w5b35a28,meta,3,Thu Aug 26 2021 09:33:45 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[62823],19.354533333333332,,
w4ae675f,meta,3,Wed Aug 25 2021 13:35:46 GMT-0400 (EDT),0.0,True,No,1.0,[92992],27.545983333333332,Female,19.0
w059d127,meta,3,Thu Aug 26 2021 07:09:59 GMT-0700 (Pacific Daylight Time),0.0,True,No,1.0,[122191],32.1967,,
w64b9b87,none,3,Wed Aug 25 2021 10:52:31 GMT-0700 (PDT),0.0,True,No,1.0,[97722],24.0392,Female,30.0
w944d981,action,3,Wed Aug 25 2021 14:27:48 GMT-0400 (Eastern Daylight Time),0.0,True,Yes,2.0,"[65449, 11455]",21.8228,Female,26.0
wfec1d81,video,3,Thu Aug 26 2021 10:22:52 GMT-0400 (Eastern Daylight Time),0.0,True,No,,,,,
w6fee0da,video,3,Wed Aug 25 2021 14:07:42 GMT-0400 (Eastern Daylight Time),0.0,True,No,,,,Female,21.0
w14f2d41,video,3,Thu Aug 26 2021 09:18:36 GMT-0400 (EDT),0.0,True,No,,,,,
w9f6e3ba,meta,3,Wed Aug 25 2021 13:52:31 GMT-0500 (Central Daylight Time),0.0,True,No,1.0,[55700],24.0292,Female,21.0
w35f2bbb,video,3,Thu Aug 26 2021 08:50:49 GMT-0500 (Central Daylight Time),0.0,True,No,,,,,
wc4b0567,video,3,Thu Aug 26 2021 09:01:42 GMT-0500 (Central Daylight Time),0.0,True,No,,,,,
wfc70246,video,3,Wed Aug 25 2021 13:40:44 GMT-0500 (Central Daylight Time),0.0,True,No,,,,Female,20.0
w25ef478,none,3,Thu Aug 26 2021 09:19:35 GMT-0500 (Central Daylight Time),0.0,True,No,2.0,"[30485, 18868]",12.333166666666667,,
w73410ef,none,3,Wed Aug 25 2021 13:41:14 GMT-0500 (Central Daylight Time),0.0,True,No,1.0,[292994],42.30683333333333,Female,31.0
w91bc0d2,meta,3,Thu Aug 26 2021 09:51:56 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[76133],90.23658333333333,,
waaa3e95,action,3,Thu Aug 26 2021 10:17:44 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[99008],48.982366666666664,,
wa573e33,action,3,Wed Aug 25 2021 13:02:02 GMT-0500 (Central Daylight Time),0.0,False,,1.0,[90221],,CONSENT REVOKED,20.0
w6721b35,action,3,Wed Aug 25 2021 14:03:35 GMT-0400 (EDT),0.0,True,No,1.0,[66254],30.496116666666666,Female,18.0
w9aa2df4,meta,3,Thu Aug 26 2021 08:57:31 GMT-0500 (CDT),0.0,True,No,1.0,[90801],21.195533333333334,,
w5ec4713,video,3,Wed Aug 25 2021 14:51:02 GMT-0400 (Eastern Daylight Time),0.0,True,No,,,,Female,26.0
w6ba1288,meta,3,Wed Aug 25 2021 12:44:25 GMT-0500 (Central Daylight Time),0.0,True,No,1.0,[69598],23.139983333333333,Female,26.0
wfc6816b,none,3,Wed Aug 25 2021 12:54:36 GMT-0600 (MDT),0.0,True,No,1.0,[140156],19.746783333333333,Female,28.0
w5a32f51,action,3,Wed Aug 25 2021 12:54:42 GMT-0500 (Central Daylight Time),0.0,True,No,1.0,[152434],40.856183333333334,Female,20.0
wd2d3656,meta,3,Wed Aug 25 2021 13:34:56 GMT-0400 (EDT),0.0,True,No,1.0,[98281],23.40985,Female,24.0
w00b6474,video,3,Wed Aug 25 2021 13:36:13 GMT-0400 (Eastern Daylight Time),0.0,True,No,,,,Female,26.0
wb52c5c2,meta,3,Thu Aug 26 2021 09:06:23 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[134912],34.29645,,
w603ae19,action,3,Thu Aug 26 2021 06:59:01 GMT-0700 (GMT-07:00),0.0,False,,1.0,[469151],,,
w4fc6baf,action,3,Wed Aug 25 2021 13:36:49 GMT-0500 (CDT),0.0,True,No,3.0,"[75743, 15778, 19943]",39.12205,Female,20.0
w784e727,action,3,Thu Aug 26 2021 08:18:28 GMT-0600 (Mountain Daylight Time),0.0,False,,,,,,
w1d7a36e,none,3,Wed Aug 25 2021 14:53:06 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[124528],23.564266666666665,Female,26.0
w5b510c9,video,3,Wed Aug 25 2021 14:58:10 GMT-0400 (Eastern Daylight Time),0.0,True,No,,,,Female,28.0
w1ebba5d,none,3,Thu Aug 26 2021 09:04:56 GMT-0400 (Eastern Daylight Time),0.0,True,No,2.0,"[64620, 12222]",15.50385,,
wd352b99,action,3,Thu Aug 26 2021 10:07:05 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[98465],20.924183333333332,,
we74143f,video,3,Thu Aug 26 2021 09:38:34 GMT-0400 (Eastern Daylight Time),0.0,True,No,,,,,
wb9dc6ab,none,3,Wed Aug 25 2021 13:05:37 GMT-0500 (CDT),0.0,True,No,2.0,"[46298, 41104]",18.194516666666665,Female,22.0
w8935c90,action,3,Wed Aug 25 2021 14:35:06 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[97639],37.30535,Male,22.0
wfbdb3c1,none,3,Wed Aug 25 2021 13:38:34 GMT-0500 (CDT),0.0,True,No,1.0,[108818],21.50895,Female,19.0
w8f1ff5a,action,3,Wed Aug 25 2021 14:54:21 GMT-0400 (Eastern Daylight Time),0.0,False,,1.0,[125961],,Female,22.0
w504fdbe,action,3,Thu Aug 26 2021 09:31:33 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[65879],19.444816666666668,,
w9043a15,none,3,Wed Aug 25 2021 13:06:55 GMT-0500 (Central Daylight Time),0.0,True,No,3.0,"[142349, 28294, 15043]",26.3917,Female,26.0
w35cf0de,none,3,Wed Aug 25 2021 14:49:05 GMT-0400 (Eastern Daylight Time),0.0,False,,2.0,"[65045, 30438]",5.0568333333333335,Female,24.0
w1a79084,meta,3,Wed Aug 25 2021 11:06:14 GMT-0700 (Pacific Daylight Time),0.0,True,Yes,1.0,[73523],28.419783333333335,Female,20.0
wf6efdca,none,3,Wed Aug 25 2021 12:03:51 GMT-0700 (Mountain Standard Time),0.0,False,,1.0,[75724],,CONSENT REVOKED,26.0
w89e6ba3,action,3,Wed Aug 25 2021 12:01:24 GMT-0700 (Pacific Daylight Time),0.0,False,,1.0,[123265],,CONSENT REVOKED,22.0
