pid,bonus,completed,startTime,train_height
100,1.58,True,Thu Jan 09 2020 16:32:43 GMT-0500 (Eastern Standard Time),2
101,1.67,True,Thu Jan 09 2020 14:12:43 GMT-0800 (Pacific Standard Time),3
102,1.84,True,Fri Jan 10 2020 12:50:10 GMT-0600 (Central Standard Time),3
103,0.49,True,Tue Feb 25 2020 12:44:11 GMT-0600 (Central Standard Time),1
104,0.21,True,Wed Feb 26 2020 10:21:16 GMT-0500 (Eastern Standard Time),3
105,0.12,True,Fri Jan 10 2020 09:55:13 GMT-0800 (Pacific Standard Time),1
106,0.0,False,Tue Feb 25 2020 09:44:49 GMT-0800 (Pacific Standard Time),1
107,1.5,True,Fri Jan 10 2020 14:42:58 GMT-0500 (Eastern Standard Time),2
108,1.62,True,Fri Jan 10 2020 13:20:25 GMT-0600 (Central Standard Time),2
109,0.0,True,Mon Feb 24 2020 14:42:05 GMT-0500 (Eastern Standard Time),1
110,1.81,True,Fri Jan 10 2020 10:22:39 GMT-0800 (Pacific Standard Time),2
111,1.75,True,Fri Jan 10 2020 12:33:48 GMT-0600 (Central Standard Time),2
112,1.25,True,Fri Jan 10 2020 12:01:08 GMT-0600 (Central Standard Time),1
113,1.37,True,Fri Jan 10 2020 12:34:48 GMT-0500 (Eastern Standard Time),1
114,1.83,True,Fri Jan 10 2020 16:50:28 GMT-0500 (Eastern Standard Time),3
115,1.9,True,Thu Jan 09 2020 14:12:46 GMT-0800 (Pacific Standard Time),3
116,2.09,True,Fri Jan 10 2020 13:20:00 GMT-0500 (Eastern Standard Time),3
117,0.0,False,Wed Jan 08 2020 15:48:24 GMT-0500 (Eastern Standard Time),3
118,1.72,True,Mon Feb 24 2020 16:12:13 GMT-0500 (Eastern Standard Time),3
119,0.12,True,Fri Jan 10 2020 09:44:02 GMT-0800 (Pacific Standard Time),3
120,1.58,True,Fri Jan 10 2020 10:12:54 GMT-0800 (Pacific Standard Time),3
121,2.13,True,Fri Jan 10 2020 11:33:15 GMT-0600 (Central Standard Time),3
122,1.58,True,Mon Feb 24 2020 11:58:15 GMT-0700 (Mountain Standard Time),1
123,1.84,True,Thu Jan 09 2020 16:58:09 GMT-0500 (Eastern Standard Time),1
124,1.9,True,Fri Jan 10 2020 12:46:57 GMT-0600 (Central Standard Time),2
125,1.98,True,Mon Feb 24 2020 16:12:34 GMT-0500 (Eastern Standard Time),2
126,0.0,False,Fri Jan 10 2020 11:38:27 GMT-0600 (Central Standard Time),1
127,1.77,True,Tue Feb 25 2020 13:51:47 GMT-0500 (Eastern Standard Time),2
128,0.21,True,Tue Feb 25 2020 13:22:42 GMT-0500 (Eastern Standard Time),1
129,0.63,True,Mon Feb 24 2020 14:50:57 GMT-0800 (Pacific Standard Time),2
130,2.11,True,Fri Jan 10 2020 12:21:17 GMT-0600 (Central Standard Time),2
131,2.04,True,Tue Feb 25 2020 14:01:56 GMT-0500 (Eastern Standard Time),3
132,2.03,True,Mon Feb 24 2020 12:58:08 GMT-0600 (Central Standard Time),3
133,1.36,True,Fri Jan 10 2020 12:32:33 GMT-0500 (Eastern Standard Time),2
134,2.03,True,Fri Jan 10 2020 12:33:10 GMT-0500 (Eastern Standard Time),2
135,0.0,False,Fri Jan 10 2020 14:00:20 GMT-0800 (Pacific Standard Time),3
136,0.51,True,Fri Jan 10 2020 12:26:11 GMT-0600 (Central Standard Time),1
137,0.11,True,Mon Feb 24 2020 11:18:00 GMT-0800 (Pacific Standard Time),3
138,0.0,True,Tue Feb 25 2020 02:44:29 GMT+0800 (China Standard Time),3
139,1.32,True,Thu Jan 09 2020 16:43:59 GMT-0500 (Eastern Standard Time),2
140,1.62,True,Mon Feb 24 2020 13:32:27 GMT-0500 (Eastern Standard Time),3
141,0.02,True,Mon Feb 24 2020 14:09:20 GMT-0800 (Pacific Standard Time),3
142,0.0,False,Fri Jan 10 2020 12:15:18 GMT-0600 (Central Standard Time),1
143,0.0,False,Mon Feb 24 2020 16:16:11 GMT-0500 (Eastern Standard Time),1
144,1.67,True,Fri Jan 10 2020 14:14:09 GMT-0500 (Eastern Standard Time),3
145,0.0,False,Fri Jan 10 2020 09:32:29 GMT-0800 (Pacific Standard Time),1
146,1.88,True,Tue Feb 25 2020 11:50:23 GMT-0600 (Central Standard Time),2
147,1.85,True,Fri Jan 10 2020 10:00:55 GMT-0800 (Pacific Standard Time),3
148,0.0,True,Fri Jan 10 2020 14:36:06 GMT-0500 (Eastern Standard Time),1
149,1.71,True,Tue Feb 25 2020 11:40:27 GMT-0800 (Pacific Standard Time),3
150,0.0,False,Wed Feb 26 2020 07:21:19 GMT-0800 (Pacific Standard Time),3
151,0.46,True,Mon Feb 24 2020 11:15:41 GMT-0800 (Pacific Standard Time),2
152,0.0,True,Fri Jan 10 2020 10:13:02 GMT-0800 (Pacific Standard Time),2
153,0.59,True,Mon Feb 24 2020 12:34:24 GMT-0600 (Central Standard Time),3
154,1.66,True,Fri Jan 10 2020 12:11:21 GMT-0600 (Central Standard Time),2
155,1.64,True,Tue Feb 25 2020 13:07:11 GMT-0500 (Eastern Standard Time),1
156,0.65,True,Mon Feb 24 2020 16:48:06 GMT-0500 (Easter Island Summer Time),1
157,0.0,False,Fri Jan 10 2020 11:34:04 GMT-0600 (Central Standard Time),3
158,1.61,True,Fri Jan 10 2020 13:08:18 GMT-0500 (Eastern Standard Time),2
159,0.0,False,Mon Feb 24 2020 12:51:11 GMT-0700 (Mountain Standard Time),2
160,1.14,True,Tue Feb 25 2020 11:42:57 GMT-0800 (Pacific Standard Time),1
161,0.0,False,Fri Jan 10 2020 10:21:39 GMT-0800 (Pacific Standard Time),3
162,1.95,True,Thu Jan 09 2020 15:23:48 GMT-0600 (Central Standard Time),3
163,0.54,True,Thu Jan 09 2020 16:27:12 GMT-0600 (Central Standard Time),2
164,0.18,True,Tue Feb 25 2020 09:43:55 GMT-0800 (Pacific Standard Time),2
165,0.09,True,Fri Jan 10 2020 09:55:05 GMT-0800 (Pacific Standard Time),1
166,0.04,True,Fri Jan 10 2020 13:01:08 GMT-0800 (Pacific Standard Time),1
167,1.83,True,Fri Jan 10 2020 11:40:10 GMT-0600 (Central Standard Time),1
168,1.83,True,Fri Jan 10 2020 13:04:39 GMT-0500 (Eastern Standard Time),2
169,1.39,True,Tue Feb 25 2020 11:00:18 GMT-0700 (Mountain Standard Time),2
170,1.8,True,Mon Feb 24 2020 12:42:12 GMT-0800 (Pacific Standard Time),2
171,0.0,False,Fri Jan 10 2020 23:21:10 GMT+0530 (India Standard Time),2
172,2.01,True,Tue Feb 25 2020 13:36:42 GMT-0500 (Eastern Standard Time),2
173,1.8,True,Fri Jan 10 2020 13:27:33 GMT-0500 (Eastern Standard Time),2
174,1.96,True,Mon Feb 24 2020 14:40:16 GMT-0600 (Central Standard Time),2
175,0.0,False,Fri Jan 10 2020 12:59:56 GMT-0500 (Eastern Standard Time),2
176,1.81,True,Tue Feb 25 2020 10:50:17 GMT-0700 (Mountain Standard Time),1
177,1.79,True,Thu Jan 09 2020 19:11:02 GMT-0600 (Central Standard Time),1
178,1.71,True,Tue Feb 25 2020 13:53:01 GMT-0700 (Mountain Standard Time),3
179,1.76,True,Fri Jan 10 2020 12:09:34 GMT-0600 (Central Standard Time),1
180,1.42,True,Fri Jan 10 2020 12:56:45 GMT-0500 (Eastern Standard Time),1
181,1.85,True,Mon Feb 24 2020 13:41:04 GMT-0500 (Eastern Standard Time),3
182,0.71,True,Thu Jan 09 2020 13:23:12 GMT-0800 (Pacific Standard Time),2
183,1.48,True,Mon Feb 24 2020 13:23:51 GMT-0600 (Central Standard Time),1
184,1.31,True,Fri Jan 10 2020 12:35:33 GMT-0500 (Eastern Standard Time),2
185,0.14,True,Fri Jan 10 2020 13:34:51 GMT-0500 (Eastern Standard Time),1
186,0.0,True,Fri Jan 10 2020 09:34:22 GMT-0800 (Pacific Standard Time),2
187,0.78,True,Fri Jan 10 2020 13:10:04 GMT-0500 (Eastern Standard Time),1
188,1.71,True,Mon Feb 24 2020 12:43:51 GMT-0700 (Mountain Standard Time),2
189,1.33,True,Thu Jan 09 2020 18:17:17 GMT-0500 (Eastern Standard Time),2
190,1.19,True,Mon Feb 24 2020 15:34:06 GMT-0800 (Pacific Standard Time),1
191,1.67,True,Fri Jan 10 2020 14:35:25 GMT-0500 (Eastern Standard Time),2
192,1.65,True,Mon Feb 24 2020 18:23:39 GMT-0500 (hora est&#225;ndar oriental),1
193,0.04,True,Mon Feb 24 2020 13:59:46 GMT-0500 (Eastern Standard Time),1
194,1.6,True,Fri Jan 10 2020 13:42:46 GMT-0500 (Eastern Standard Time),1
