worker_id,bonus,wid
6110cd3f3430c6db292fd0b5,1.18,wec8cfbb
6121e797ae9be9abe8877d60,0.39,wcea7783
60ed8f50e13ce18a6d406a09,0.66,wbe66ad5
6110a4652bdf012fea56165d,1.18,w5fc86ee
610446c84e78b13f9bd8d4ec,1.25,w4a4eee9
6125e0b2738a605f92137f13,1.0,w20d8775
5df0eb850042e812ca51313a,1.24,w6478c80
612653ee09ac9515216fdd76,0.96,w7b4f8f4
611dbfe946412da7f8c130f7,0.84,w319a0e1
60ffd5dd740191b00075e5f2,1.2,w9ff666f
60fef34c5a2a9234bf69afdc,0.57,w57f71f3
60df390d60c71cd1a15911c5,0.48,wf76cdb5
61224870ae8cd63e9318b7cd,0.44,w66b834b
61089bdf9f63a65de6cb5c78,0.99,wd9a281c
611c368e4b7672f7948adbab,1.07,w8a30b61
6108453f3c354618fe463259,1.08,wf3f3242
61087ea09455cd6265f3bdb1,1.02,w75825fc
6106f31c0c413ab9a2399f38,1.22,wbb30d4a
6111739b4db1a934aa0b1a6a,1.23,w5815157
61201efe25e0daefae51788a,0.55,wcc659c6
6100eadf836b65bccf7ea199,1.24,wfbddbcf
60fe17000bba8402cc194cf6,1.19,w2b21580
61080e052c0ffa057f9900bd,0.48,w1b9eb62
60fc4d9f8837029bec3e123a,1.21,w918f146
610838ce8232e3d6af81b8dc,0.78,wae4e593
60fd64589500659c88c19b0e,0.58,w71d4864
611ec32e678db7f1e22f60a9,1.18,w8d6c582
6108b37bd9540ad14015bd02,0.56,w87c2e60
60ff399f037eefd4ecb631fa,1.12,w532b002
610e4a71ed4d4e19bbad4801,0.64,w8864203
61142b711e2ffeafce85b1f0,0.67,wa3e344e
5fb2cbcafa4c009546a700e2,0.71,wbd55994
60fd16c6a00b62b2852f0eaf,1.19,w6ecbd99
610735660c7ea715d047205b,0.41,w62e6de7
610777550a7bd6919a1a555a,0.49,wcc14650
611ebc3b8331b0cccba383e5,0.46,w587553b
611d3c3f5c84166fa844eb1d,1.09,w0e713c2
6100c54397a1d59951d78b63,0.96,wf75e7c1
60fbe829ef88f73ff1bf88f3,1.23,w9f23adf
611bd027462781b228aa4cae,1.17,w27c7ae9
610862cfdb930ddc4b2b3e90,1.14,w0cb60a6
610eb5839d46e1bc4e530298,0.5,w0db9216
61083716728be05829e73b0d,0.7,w68f3678
6123d05604367cf900526841,0.96,w3a373be
60fd88049507bf9b9f774f2f,1.19,w154025d
61078cee2ad96bbf0a352e24,0.96,w4fd5446
6116e930dcc990c47c96640b,0.45,w40f4d64
60fdd58c39a4d09c8cddd132,0.81,w5063adc
610875f54618ea106945ffdd,0.97,wedf588e
611809959c11b3ad8aa5f81c,0.77,w6d0b2db
60b7a3fa4922f4f386f29045,0.7,w698781d
6116f1f94ce995ae72a64e93,0.81,wa4dc932
612323ddbebadb638a141ce3,0.85,w9d902e3
6116824b75c9501770980db0,1.13,we378bf9
612142fea095a6b74dd31029,0.54,w489eb7b
6108764519340643e130965d,1.13,w78c448e
6103438519fc5f350e71d530,0.49,wadc1a6f
610ec31b33de16c5167f3062,0.68,w2a199c6
60cbc2761f8b25649d4c3c04,1.08,w9fb2a2e
6100a8dd08e142f9066458ea,1.26,wfaf1665
6111cfbfb13669cd83689ef2,0.59,w606a8c1
60fd8e764db4533e936f4ade,1.11,w324b28e
61037a35f05391cdbec959c3,1.06,w4d06758
61038275adbb6f53ae85b482,1.05,w35280e6
61114ab144bfe39a305e049f,0.65,wf5d12ee
6100d12602dbc013bf326e62,1.23,w758c847
60fde2737fe9a6412a1cb56c,1.21,wa9579f5
60ff86d94dfdf48d739e2160,0.82,w21a56b2
6124b76c73628ded4b2877a2,0.66,wcab7487
6100e02dc8da880a51bf1c7d,1.15,w6c6a0b0
610b4ec3761d0edb6279c6fb,1.28,w4b8922c
6108afc986f7bed4f9d194a3,0.87,w0cfebce
6116defc42273649ab0d8dc8,1.16,w0ef108b
61016c86da8e761db88c5350,0.48,w7945741
6115a6b3118e8a760f6ec514,0.44,wcf46d2d
611101548d78ab5ec3a9c42e,0.76,we723e30
61119fe9c541ba7f46bcea57,0.97,wa62bc1b
61096a66669e0e154f5118e7,1.03,wca4deb7
610892fc2886595a31f3aeb2,1.18,w640b3d8
611202ff20bc8f6143b2b906,0.47,w80a82e4
6112d0a459c8c2cc362d2413,0.49,w2b6ae59
60fd9a010279e0f7e338571a,0.58,w9191841
611ff6cc935b6de3fff0b896,0.48,w3c92177
60fcca58a22524500099f293,1.13,w64b9b87
6100376d5ffec9fefcefdc1c,0.69,w46354fd
6122bff4706b6d848da00ec1,1.22,wb02245e
610995d90e2d95614a0db4a3,1.19,w6222453
611e96a8fa05050b7c9efdd5,0.68,w89ece1e
61089d923e48dc286496517a,1.2,w95ebfb4
60fe074340fe51f696bbecb2,1.23,w183322e
60fe39f52d7b4a587b5e62ce,0.57,w68d0af1
60ff1b0eed664eefaaec1c3d,1.09,wb2d05fb
60ff1c9eaffa19250ca7cb6d,1.27,w4759730
61037bde019e91ccb096b67d,0.48,wc41b85b
5e6f930a8c586155bdfffc4b,1.25,w7bde8c5
61001862463c1eca6db99298,0.44,w9f225cc
610065f36ea6cd61b43e8ff7,1.18,wbdee9ac
610078b9dd024c33d28e453a,0.6,w6d9dd94
60fcd9368e8d2b8740cf9251,1.12,waaa3e95
